id;name;main_activity;secondary_activities;genres;region__country;contact_information;website
882;EXPORTADORA CINEMATOGRAFICA ESPANOLA S.L. (TELE INFORME); - ; - ; - ;Europe (Spain);"Nuestra Senora de Guadalupe; 19 local  | MADRID | 28028 | Spain";http://www.cineytele.com/
883;EXPRESSIVE MEDIA PROJECTS;Content creation / Production / Distribution (Rights Holder / Distributor);Content creation / production / rights holder (Sales Agent);"Kids & Teens (Animation); Docs & Factual (Current Affairs, Ethnology & Sociology, History & Civilisation, Lifestyle, Nature & Wildlife, Reality / Factual); Drama / Fiction / Scripted Format (Feature Film, Miniseries, Series, TV Movies)";Europe (Spain);Edificio Bami  | CapuchinosdeBasurto,2 | BILBAO | Bizkaia | 48013 | Spain;http://www.expressive.es/
884;EYE PRESENT; - ; - ; - ;Europe (UK);1-5  | VynerStreet | UnitedKingdom; - 
885;EYEWORKS DO BRASIL;Content creation / Production / Distribution (Production company/Content creation.); - ;Non-Scripted Formats (Reality Shows / Scripted Reality, TV Game Show);South & Central America (Brazil);Building  | RuadosPinheiros,97205422000 | SOPAULO | Brazil; - 
886;EYZ MEDIA GMBH;Broadcasting platforms (Online Video Platform/MCN);"Content creation / production / rights holder (Rights Holder / Distributor); Technology and Services (Technology Provider/OS)";"Docs & Factual (Arts, Music & Culture, Ethnology & Sociology, History & Civilisation, Reality / Factual, Science & Knowledge, Social Responsabilities / Green); Drama / Fiction / Scripted Format (Feature Film, Miniseries, Mobisode / Webisode, Series, Short Film)";Europe (Germany);Karl-Liebknecht-Strasse 34  | BERLIN | Berlin | 10178 | Germany;http://eyzmedia.de/en/
887;FABELAKTIV;Content creation / Production / Distribution (Production company/Content creation.);Content creation / production / rights holder (Rights Holder / Distributor);"Kids & Teens (Docs for Kids, Kids Interactive, Live-Action); Docs & Factual (Educational, youth oriented, Nature & Wildlife, Reality / Factual, Social Responsabilities / Green); Non-Scripted Formats (Factual Entertainment / Magazine, Reality Shows / Scripted Reality, TV Game Show); Drama / Fiction / Scripted Format (Series, Short Film)";Europe (Norway);Stangevegen 15  | HAMAR | 2317 | Norway;http://www.fabelaktiv.no/
888;FABRIQUE D'IMAGES (Creative Europe MEDIA);Content creation / Production / Distribution (Production company/Content creation.);Content creation / production / rights holder (Rights Holder / Distributor);Kids & Teens (Animation);Europe (Luxembourg);115 C rue Emile Mark  | DIFFERDANGE | L-4620 | Luxembourg;http://www.fabrique-d-images.com/
889;FABULA MEDYA A.S.;Content creation / Production / Distribution (Rights Holder / Distributor);Content creation / production / rights holder (Theatrical distributor);"Kids & Teens (Animation); Docs & Factual (Lifestyle); Drama / Fiction / Scripted Format (Feature Film, Series)";Europe (Turkey);UPHILL TOWERS  | BarbarosMah.UphillTowersABlokNo:33Atasehir | ISTANBUL | 34746 | Turkey; - 
890;FABULA TELEVISION SPA;Content creation / Production / Distribution (Production company/Content creation.);Content creation / production / rights holder (Rights Holder / Distributor);"Kids & Teens (Animation); Docs & Factual (Arts, Music & Culture, Lifestyle); Drama / Fiction / Scripted Format (Feature Film, Series, TV Movies)";South & Central America (Chile);Holanda 3017  | SANTIAGO | 7591538 | Chile;http://www.fabula.cl/
891;FABULOUS;Content creation / Production / Distribution (Production company/Content creation.); - ;Docs & Factual (Arts, Music & Culture);Asia Pacific (South Korea);6F K-SQUARE BLDG, 207   | HakdongRoGangnamGu | SEOUL | 06052 | SouthKorea;http://www.fab-pictures.com/
892;FACEBOOK;Broadcasting platforms (Social Network/Online publisher);Broadcasting platforms (Online Video Platform/MCN);Docs & Factual (Lifestyle);North America (USA);770 Broadway  | 8thFloor | NEWYORK | NY | 10003 | UnitedStates; - 
893;FACTORIA PLURAL, S.L.;Content creation / Production / Distribution (Production company/Content creation.); - ;Non-Scripted Formats (Factual Entertainment / Magazine, Reality Shows / Scripted Reality);Europe (Spain);Avenida Maria Zambrano, 2  | ZARAGOZA | 50018 | Spain;http://www.factoriaplural.es/
894;FAMILY FILMS;Content creation / Production / Distribution (Rights Holder / Distributor); - ;"Kids & Teens (Animation, Live-Action); Drama / Fiction / Scripted Format (Feature Film, Series, TV Movies)";Europe (France);3rd floor, Office 337  | 78avenuedesChampsElysées | PARIS | Ile-de-France | 75008;http://www.familyfilms.fr/
895;FANTAWILD ANIMATION INC.;Content creation / Production / Distribution (Rights Holder / Distributor);Content creation / production / rights holder (Production company/Content creation);"Kids & Teens (Animation); Drama / Fiction / Scripted Format (Feature Film, Series, TV Movies)";Asia Pacific (China);15/F, Huaqiang Bldg  | No.16KeYanRoadNanshanDistrict | SHENZHEN | Guangdong | 518057 | China;http://www.fantawild.com/
896;FARDOUS PRODUCTION;Content creation / Production / Distribution (Rights Holder / Distributor);Content creation / production / rights holder (Production company/Content creation);Drama / Fiction / Scripted Format (Telenovelas / Soap / Sitcom);Middle East (UAE);Al Rigga Street  | 119301 | DUBAI | 00971 | UnitedArabEmirates;http://www.fardous.tv/
897;FASCINATION TV;Broadcasting platforms (Cable/IP/Satellite/Mobile/OTT Operator);Technology and Services (2nd Screen/Social TV, Technology Provider/OS);"Docs & Factual (Arts, Music & Culture, Current Affairs, Ethnology & Sociology, History & Civilisation, Lifestyle, Reality / Factual, Science & Knowledge, Social Responsabilities / Green); Non-Scripted Formats (Factual Entertainment / Magazine); Music; BrandedEntertainment; Gaming (Esport)";North America (Canada);84 Pleasant Blvd.  | TORONTO | ON | M4T1J8 | Canada;http://www.fashionation.tv/
898;FASHION ONE LLC.;Broadcasting platforms (TV Channel); - ;"Docs & Factual (Lifestyle); Non-Scripted Formats (Factual Entertainment / Magazine, Reality Shows / Scripted Reality); BrandedEntertainment";North America (USA);246 West Broadway  | NEWYORK | NY | 10013 | UnitedStates;http://www.fashionone.com/
899;FASHIONTV; - ; - ; - ;Europe (Austria);4 Wasagasse  | VIENNA | 1090 | Austria;http://www.ftv.com/
900;FASTPOINT;Broadcasting platforms (Online Video Platform/MCN);Technology and Services (Technology Provider/OS);"Kids & Teens (Animation, Docs for Kids, Kids Interactive, Live-Action); Docs & Factual (Archive, Arts, Music & Culture, Current Affairs, Educational, youth oriented, Ethnology & Sociology, History & Civilisation, Lifestyle, Nature & Wildlife, Reality / Factual, Science & Knowledge, Social Responsabilities / Green); Non-Scripted Formats (Factual Entertainment / Magazine, Reality Shows / Scripted Reality, TV Game Show); Drama / Fiction / Scripted Format (Feature Film, Miniseries, Mobisode / Webisode, Series, Short Film, Telenovelas / Soap / Sitcom, TV Movies); Erotic/Adults";Europe (France);CIT, rue Louis Aragon - BP 64  | CHERBOURGENCOTENTIN | 50130 | France;http://www.fast-point.net/
901;FASTPROD;Content creation / Production / Distribution (Production company/Content creation.);Content creation / production / rights holder (Sales Agent);"Kids & Teens (Animation); Drama / Fiction / Scripted Format (Feature Film, Miniseries)";Europe (France);20 rue Thomas Lemaitre  | NANTERRE | Ile-de-France | 92000;http://www.fastprod.fr/
902;FAT PROGRAM;Content creation / Production / Distribution (Production company/Content creation.); - ;"Kids & Teens (Live-Action); Docs & Factual (Arts, Music & Culture); Non-Scripted Formats (Reality Shows / Scripted Reality, TV Game Show); Drama / Fiction / Scripted Format (Miniseries, Series); BrandedEntertainment";Europe (France);17 rue Pastourelle  | PARIS | Ile-de-France | 75003;http://www.fatprogram.net/
903;FAUNA; - ; - ; - ;Europe (Turkey);Visnezade Mah. Bazrefendi Sk  | UfukPalasNo319 | ISTANBUL | 34000 | Turkey;https://www.youtube.com/Kukuli
904;FC KLAP - NETHERLANDS OFFICE; - ; - ; - ;Europe (Netherlands);Gravelandseweg 51  | HILVERSUM | 1217EH | Netherlands;http://www.broadcastmagazine.nl/
905;FCCE;Content creation / Production / Distribution (Rights Holder / Distributor);Content creation / production / rights holder (Production company/Content creation); - ;Europe (Netherlands);TT. VASUMEG 58D  | AMSTERDAM | Netherlands | 1033SC;http://www.fcce.tv/
1049;FREMANTLEMEDIA ITALY; - ; - ; - ;Europe (Italy);Via Monte Zebio 24  | ROME | Lazio | 00195 | Italy;http://www.fremantlemedia.com/
906;FEDERAL HILL COMMUNICATIONS;Broadcasting platforms (Cable/IP/Satellite/Mobile/OTT Operator);"Content creation / production / rights holder (Licensing Agent); Broadcasting platforms (Online Video Platform/MCN); Financing & supports (Consulting company (law firm, merchandising,...))";"Kids & Teens (Animation, Docs for Kids, Live-Action); Docs & Factual (Arts, Music & Culture, Current Affairs, Educational, youth oriented, History & Civilisation, Lifestyle, Nature & Wildlife, Reality / Factual, Science & Knowledge, Social Responsabilities / Green); Drama / Fiction / Scripted Format (Feature Film, Miniseries, Mobisode / Webisode, Series, Short Film, Telenovelas / Soap / Sitcom, TV Movies); Erotic/Adults; Music";North America (USA);3950 Via Dolce  | Suite517 | MARINADELREY | CA | 90292 | UnitedStates;http://www.federalhill.tv/
907;FEDERAL MINISTRY OF INFORMATION; - ; - ; - ;Africa (Nigeria);Herbert Marcaulay Way  | Area10Garki | ABUJA | Nigeria; - 
908;FEDERATION ENTERTAINMENT;Content creation / Production / Distribution (Production company/Content creation.);Content creation / production / rights holder (Rights Holder / Distributor);"Kids & Teens (Animation, Live-Action); Drama / Fiction / Scripted Format (Miniseries, Series)";Europe (France);10 rue Royale  | PARIS | Ile-de-France | 75008;http://www.fedent.com/
909;FEDERATION ENTERTAINMENT KIDS & FAMILY;Content creation / Production / Distribution (Production company/Content creation.);Content creation / production / rights holder (Rights Holder / Distributor);Kids & Teens (Animation, Live-Action);Europe (France);10 rue Royale  | PARIS | Ile-de-France | 75008;http://fedent.com/kids-and-family/
910;FEELSALES (Creative Europe MEDIA);Content creation / Production / Distribution (Sales Agent); - ;"Docs & Factual (Arts, Music & Culture, Current Affairs, Educational, youth oriented, Ethnology & Sociology, History & Civilisation); Drama / Fiction / Scripted Format (Short Film)";Europe (Spain);Av. Concha Espina 65, 2°  | MADRID | 28016 | Spain;http://www.feelsales.com/
911;FEITONG CARTOON & GRAPHIC SERVICE;Content creation / Production / Distribution (Production company/Content creation.);Technology and Services (Post Production/Studios);Kids & Teens (Animation);Asia Pacific (China);Room 03, 18th Floor,   | Block2ofGuosonCenter388ZhongjiangRoad, | SHANGHAI | 200062 | China; - 
912;FENEZ MEDIA LIMITED; - ; - ; - ;Asia Pacific (Hong Kong);43 Lyndhurst Terrace, Central  | 1002,10thFloor, | HONGKONG | 0000 | HongKong;http://www.fenezmedia.com/
913;FENG ZHI ENTERTAINMENT CO., LTD.;Content creation / Production / Distribution (Rights Holder / Distributor);Content creation / production / rights holder (Production company/Content creation);"Kids & Teens (Animation, Kids Interactive); Drama / Fiction / Scripted Format (Telenovelas / Soap / Sitcom); Gaming (Online / Mobile Games); Publishing (IPs)";Asia Pacific (China);Floor3, Block B, Buliding N° 4, N°23  | ChuangxinRoad,GaoxinDistrict | NANNING | Guangxi | 530007 | China;http://www.fzentertainment.com/
914;FESTIVAL GROUP SP. Z O.O.;Content creation / Production / Distribution (Production company/Content creation.);Broadcasting platforms (Online Video Platform/MCN);"Kids & Teens (Docs for Kids); Docs & Factual (Arts, Music & Culture, Educational, youth oriented, Lifestyle, Reality / Factual); Non-Scripted Formats (Reality Shows / Scripted Reality, TV Game Show); Drama / Fiction / Scripted Format (Miniseries, Short Film); Music";Europe (Poland);Juranda Ze Spychowa 34e/4  | WARSZAWA | 03-257 | Poland;http://www.festivalgroup.pl/
915;FETCH TV;Broadcasting platforms (Cable/IP/Satellite/Mobile/OTT Operator); - ;"Kids & Teens (Animation, Docs for Kids, Kids Interactive, Live-Action); Docs & Factual (Archive, Arts, Music & Culture, Current Affairs, Educational, youth oriented, Ethnology & Sociology, History & Civilisation, Lifestyle, Nature & Wildlife, Reality / Factual, Science & Knowledge, Social Responsabilities / Green); Non-Scripted Formats (Reality Shows / Scripted Reality); Drama / Fiction / Scripted Format (Feature Film, Miniseries, Mobisode / Webisode, Telenovelas / Soap / Sitcom, TV Movies); Music";Asia Pacific (Australia);Level 5  | 61LavenderStreet | MILSONSPOINT | NewSouthWales | 2061 | Australia;http://www.fetchtv.com.au/
916;FIBIN MEDIA (Creative Europe MEDIA);Content creation / Production / Distribution (Production company/Content creation.);Broadcasting platforms (TV Channel);Kids & Teens (Kids Interactive);Europe (Ireland);Na hAille  | INDREABHAN | NONE | Ireland;http://www.fibinmedia.ie/
917;FICCION PRODUCCIONES;Broadcasting platforms (TV Channel);Content creation / production / rights holder (Production company/Content creation);"Kids & Teens (Animation); Docs & Factual (Reality / Factual); Non-Scripted Formats (Factual Entertainment / Magazine); Drama / Fiction / Scripted Format (Miniseries, Series, TV Movies)";Europe (Spain);Polig. Novo Milladoiro.  | RuaPalmeira62A2 | AMES-SANTIAGODECOMPOSTELA | ACORUNA(GALICIA) | 15895 | Spain;http://www.ficcion-producciones.com/
918;FICTION VALLEY;Content creation / Production / Distribution (Production company/Content creation.); - ;Drama / Fiction / Scripted Format (Feature Film, Miniseries, Series, TV Movies);Europe (Netherlands);Pieter Braaijweg 1  | AMSTERDAM-DUIVENDRECHT | 1114AJ | Netherlands;http://www.fictionvalley.nl/
919;FIELDWORKS, INC.;Content creation / Production / Distribution (Licensing Agent);Content creation / production / rights holder (Rights Holder / Distributor);Drama / Fiction / Scripted Format (Feature Film, Miniseries, Series, Telenovelas / Soap / Sitcom, TV Movies);Asia Pacific (Japan);Excel TY Building  | 1-16-13,Ebisuminami | SHIBUYA-KU | 1500022 | Japan;http://www.fieldworks.ne.jp/
920;FIFA Films serviced by INFRONT SPORTS & MEDIA AG ;Content creation / Production / Distribution (Rights Holder / Distributor); - ;Sports;Europe (Switzerland);Grafenauweg 2  | ZUG | Zug | 6302 | Switzerland;http://www.fifafilms.com/
921;FIGARO ET VOUS (LE); - ; - ; - ;Europe (France);14 Boulevard Haussmann  | PARIS | 75009 | France;http://www.lefigaro.fr/
922;FIGHT CHANNEL;Broadcasting platforms (TV Channel); - ;Sports;Europe (Croatia);Ulica Grada Vukovara 269F  | ZAGREB | 10000 | Croatia;http://www.fightsite.hr/
923;FIGHTING SPIRIT;Content creation / Production / Distribution (Rights Holder / Distributor);Content creation / production / rights holder (Production company/Content creation);"Docs & Factual (Ethnology & Sociology, Lifestyle); Non-Scripted Formats (Reality Shows / Scripted Reality); Drama / Fiction / Scripted Format (Series); Sports; Publishing (Newspaper / mag)";Europe (France);L'Opale  | 61RuePierreCazeneuve | TOULOUSE | Midi-Pyrénées | 31200 | France;http://www.fighting.fr/
924;FIKROGUN FILM PRODUKSIYON TIVA TRO REKLAM ORG. TIC. LTD. STI;Content creation / Production / Distribution (Production company/Content creation.);Technology and Services (Content management);Kids & Teens (Animation);Europe (Turkey);Gulbahar Nah Altan Erbulak sk.  | No:11/7Sisli | ISTANBUL | Turkey;http://www.fikrigunfilm.com/
925;FILM & PICTURE;Content creation / Production / Distribution (Rights Holder / Distributor); - ;"Docs & Factual (Arts, Music & Culture, Ethnology & Sociology, History & Civilisation, Lifestyle); Drama / Fiction / Scripted Format (Feature Film, Miniseries, Mobisode / Webisode, Series, TV Movies)";Europe (France);19 rue de Bassano  | 19rueBassano | PARIS | Ile-de-France | 75116;http://www.filmandpicture.com/
926;FILM AFRIKA WORLD WIDE (PTY) LTD;Content creation / Production / Distribution (Production company/Content creation.); - ;"Docs & Factual (History & Civilisation, Nature & Wildlife); Drama / Fiction / Scripted Format (Feature Film, Miniseries, Series, TV Movies)";Africa (South Africa);Avalon 2  | 123HopeStreet,GardensPOBox12202 | CAPETOWN | 8001 | SouthAfrica;http://www.filmafrika.com/
927;FILM AIR SERVICES; - ; - ; - ;Europe (France);ZA du moulin  | RuedelacroixBP18345 | France; - 
928;FILM AUSTRIA;Content creation / Production / Distribution (Production company/Content creation.); - ;"Kids & Teens (Animation, Docs for Kids); Docs & Factual (Arts, Music & Culture, Ethnology & Sociology, History & Civilisation, Nature & Wildlife, Science & Knowledge); Drama / Fiction / Scripted Format (Series)";Europe (Austria);AUSTRIAN INDEPENDENT FILMPRODUCERS  | LainzerStrasse2 | VIENNA | 1130 | Austria;http://www.filmaustria.com/
929;FILM EUROPE MEDIA COMPANY;Content creation / Production / Distribution (Rights Holder / Distributor); - ;"Docs & Factual (Arts, Music & Culture); Drama / Fiction / Scripted Format (Feature Film, Miniseries, TV Movies)";Europe (Slovakia);Matuskova 10  | BRATISLAVA | 83101 | Slovakia;http://www.filmeurope.sk/
930;FILM FACTORY ENTERTAINMENT SL;Content creation / Production / Distribution (Sales Agent); - ;"Docs & Factual (Arts, Music & Culture, Current Affairs, Ethnology & Sociology, Reality / Factual); Drama / Fiction / Scripted Format (Miniseries, Series, TV Movies)";Europe (Spain);C/Lincoln 11, 2° 4a  | BARCELONA | 08006 | Spain;http://www.filmfactoryentertainment.com/
931;FILM MADRID - REGION OF MADRID FILMING PROMOTION OFFICE;Financing & supports (Film Commission / Fundings); - ;"Docs & Factual (Arts, Music & Culture, History & Civilisation, Lifestyle, Nature & Wildlife, Reality / Factual); Non-Scripted Formats (Factual Entertainment / Magazine, Reality Shows / Scripted Reality, TV Game Show); Drama / Fiction / Scripted Format (Feature Film, Miniseries, Series, TV Movies)";Europe (Spain);First Floor  | Alcala31 | MADRID | 28014 | Spain;http://www.madrid.org/filmmadrid
932;FILM MODE ENTERTAINMENT;Content creation / Production / Distribution (Sales Agent);Content creation / production / rights holder (Rights Holder / Distributor);"Docs & Factual (Archive, Arts, Music & Culture, Current Affairs, Ethnology & Sociology, History & Civilisation, Reality / Factual); Drama / Fiction / Scripted Format (Feature Film)";North America (USA);324 S. Beverly Blvd.  | Suite313 | BEVERLYHILLS | CA | 90212 | UnitedStates;http://www.filmmodeentertainment.com/
933;FILM- UND MEDIENSTIFTUNG NRW;Financing & supports (Film Commission / Fundings); - ;"Kids & Teens (Animation); Docs & Factual (Arts, Music & Culture, Reality / Factual); Drama / Fiction / Scripted Format (Feature Film, Miniseries, Mobisode / Webisode, Series, Short Film, TV Movies)";Europe (Germany);Kaistrasse 14  | DUESSELDORF | Nordrhein-Westfalen | 40221 | Germany;http://www.filmstiftung.de/
934;FILM.UA GROUP;Content creation / Production / Distribution (Rights Holder / Distributor);Content creation / production / rights holder (Production company/Content creation);"Kids & Teens (Animation); Docs & Factual (History & Civilisation, Science & Knowledge); Non-Scripted Formats (Factual Entertainment / Magazine, Reality Shows / Scripted Reality); Drama / Fiction / Scripted Format (Miniseries, Series, Telenovelas / Soap / Sitcom, TV Movies); Publishing (Newspaper / mag)";Europe (Ukraine);22 Zakrevskogo Str  | KIEV | 02222 | Ukraine;http://www.film.ua/
935;FILMA LTD;Content creation / Production / Distribution (Theatrical distributor);Content creation / production / rights holder (Licensing Agent);"Kids & Teens (Animation); Docs & Factual (History & Civilisation, Lifestyle, Nature & Wildlife, Science & Knowledge); Non-Scripted Formats (Factual Entertainment / Magazine, Reality Shows / Scripted Reality, TV Game Show); Drama / Fiction / Scripted Format (Feature Film, Miniseries, Series, Telenovelas / Soap / Sitcom, TV Movies); Music";Europe (Turkey);Sari Konaklar Is Merkezi, A Blok D:3-4-6  | AkatMah.KayaÇilingirogluCad. | ISTANBUL | 34335 | Turkey; - 
936;FILMAX INTERNATIONAL;Content creation / Production / Distribution (Sales Agent);Content creation / production / rights holder (Rights Holder / Distributor);Drama / Fiction / Scripted Format (Feature Film, Series, TV Movies);Europe (Spain);Calle Miguel Hernandez 81-87  | HOSPITALET | 08908 | Spain;http://www.filmaxinternational.com/
937;FILMAYER PRODUCCIONES AUDIOVISUALES ;Content creation / Production / Distribution (Production company/Content creation.);Content creation / production / rights holder (Rights Holder / Distributor);"Kids & Teens (Animation); Drama / Fiction / Scripted Format (Feature Film, Series)";Europe (Spain);Avenida de Burgos 8A  | MADRID | 28036 | Spain; - 
938;FILMBANKMEDIA;Content creation / Production / Distribution (Licensing Agent); - ;"Kids & Teens (Animation); Docs & Factual (Lifestyle); Non-Scripted Formats (Factual Entertainment / Magazine); Drama / Fiction / Scripted Format (Feature Film, Series); Music";Europe (UK);Warner House  | 98TheobaldsRoad | LONDON | WC1X8WB | UnitedKingdom;http://www.filmbankmedia.com/
939;FILMBRIGADE (Creative Europe MEDIA);Content creation / Production / Distribution (Production company/Content creation.);Content creation / production / rights holder (Rights Holder / Distributor);Drama / Fiction / Scripted Format (Feature Film, Miniseries, Series, Telenovelas / Soap / Sitcom);Europe (Czech Republic);Osadni 35  | PRAGUE7 | 17000 | CzechRepublic;http://www.filmbrigade.cz/
940;FILMCAMP;Financing & supports (Film Commission / Fundings); - ;"Kids & Teens (Live-Action); Docs & Factual (Lifestyle, Nature & Wildlife, Reality / Factual, Social Responsabilities / Green); Non-Scripted Formats (Factual Entertainment / Magazine, Reality Shows / Scripted Reality); Drama / Fiction / Scripted Format (Feature Film, Miniseries, Mobisode / Webisode, Series, Short Film, Telenovelas / Soap / Sitcom, TV Movies)";Europe (Norway);Tomas Tomassens Vei 41  | OVERBYGD | 9334 | Norway;http://www.filmcamp.no/
941;FILMDELIGHTS (Creative Europe MEDIA);Content creation / Production / Distribution (Sales Agent);"Content creation / production / rights holder (Rights Holder / Distributor); Financing & supports (Consulting company (law firm, merchandising,...))";"Docs & Factual (Arts, Music & Culture, Current Affairs, Educational, youth oriented, Science & Knowledge, Social Responsabilities / Green); Drama / Fiction / Scripted Format (Feature Film); Music";Europe (Austria);Lindengasse 25/10  | VIENNA | 1070 | Austria;http://www.filmdelights.com/
942;FILMEXPORT GROUP SRL;Content creation / Production / Distribution (Sales Agent);Content creation / production / rights holder (Production company/Content creation);"Kids & Teens (Animation); Drama / Fiction / Scripted Format (Feature Film, Series, TV Movies); Erotic/Adults";Europe (Italy);Largo Guglielmo la Pegna 18  | ROME | Lazio | 00128 | Italy;http://www.filmexport.com/
943;FILMGATE FILMS;Content creation / Production / Distribution (Production company/Content creation.);Technology and Services (Post Production/Studios);"Kids & Teens (Animation, Live-Action); Drama / Fiction / Scripted Format (Feature Film, Series, TV Movies)";Europe (Sweden);Jarntorget 3  | GOTHENBURG | 41304  | Sweden;http://www.filmgate-films.com/
944;FILMHOUSE LTD;Content creation / Production / Distribution (Rights Holder / Distributor);Content creation / production / rights holder (Theatrical distributor);Kids & Teens (Animation, Live-Action);Middle East (Israel);66 Levi Eshkol Street  | TELAVIV | 69361 | Israel;http://www.filmhouse.co.il/
945;FILMNATION ENTERTAINMENT, LLC;Content creation / Production / Distribution (Production company/Content creation.); - ;Drama / Fiction / Scripted Format (Feature Film, Miniseries, Series);North America (USA);150 W 22nd St  | 9thFloor | NEWYORK | NY | 10011 | UnitedStates;http://www.filmnation.com/
946;FILMOLINE;Broadcasting platforms (Online Video Platform/MCN); - ;Drama / Fiction / Scripted Format (Feature Film);Europe (France);65 rue de Dunkerque   | PARIS | Ile-de-France | 75009;"http://www.filmotv;fr"
947;FILMOPTION INTERNATIONAL INC.;Content creation / Production / Distribution (Rights Holder / Distributor); - ;Docs & Factual (Arts, Music & Culture, Current Affairs, Educational, youth oriented, Ethnology & Sociology, History & Civilisation, Lifestyle, Nature & Wildlife, Reality / Factual, Science & Knowledge, Social Responsabilities / Green);North America (Canada);Saint-Antoine West 3401  | WESTMOUNT | QC | H3Z1X1 | Canada;http://www.filmoption.com/
948;FILMPOOL ENTERTAINMENT GMBH;Content creation / Production / Distribution (Production company/Content creation.);Content creation / production / rights holder (Rights Holder / Distributor);"Docs & Factual (Lifestyle, Reality / Factual); Non-Scripted Formats (Reality Shows / Scripted Reality, TV Game Show); Drama / Fiction / Scripted Format (Miniseries, Series, Telenovelas / Soap / Sitcom)";Europe (Germany);nobeo Studios, Produzentenhaus  | KalscheurenerStr.91 | HUERTH | Nordrhein-Westfalen | 50354 | Germany;http://www.filmpool.de/
949;FILMRISE;Content creation / Production / Distribution (Rights Holder / Distributor);Content creation / production / rights holder (Theatrical distributor);"Kids & Teens (Animation, Docs for Kids, Live-Action); Docs & Factual (Arts, Music & Culture, Current Affairs, Educational, youth oriented, History & Civilisation, Lifestyle, Nature & Wildlife, Reality / Factual, Social Responsabilities / Green); Drama / Fiction / Scripted Format (Feature Film, Miniseries, Series, TV Movies); Music";North America (USA);220 36th Street, Unit 4A  | BROOKLYN | NY | 11232 | UnitedStates;http://www.filmrise.com/
950;FILMS DISTRIBUTION;Content creation / Production / Distribution (Sales Agent); - ;Docs & Factual (Current Affairs, Ethnology & Sociology, History & Civilisation);Europe (France);5 rue Nicolas Flamel  | PARIS | Ile-de-France | 75004;http://www.filmsdistribution.com/
951;FILMS DU BOULEVARD;Content creation / Production / Distribution (Production company/Content creation.); - ;"Kids & Teens (Animation); Drama / Fiction / Scripted Format (Feature Film, Series)";North America (Canada);7563 Rue Saint Dominique  | MONTREAL | QC | H2R1X4 | Canada;http://www.filmsduboulevard.com/
952;FILMS MEDIA GROUP;Broadcasting platforms (Online Video Platform/MCN); - ;"Kids & Teens (Docs for Kids, Kids Interactive); Docs & Factual (Arts, Music & Culture, Current Affairs, Educational, youth oriented, Ethnology & Sociology, History & Civilisation, Science & Knowledge, Social Responsabilities / Green)";North America (USA);132 West 31st Street  | 16thFloor | NEWYORK | NY | 10001 | UnitedStates;http://www.films.com/
953;FILMS SANS FRONTIERES 2 (Creative Europe MEDIA);Content creation / Production / Distribution (Rights Holder / Distributor);Content creation / production / rights holder (Production company/Content creation);"Docs & Factual (Arts, Music & Culture, Educational, youth oriented, Ethnology & Sociology, History & Civilisation, Nature & Wildlife, Science & Knowledge, Social Responsabilities / Green); Drama / Fiction / Scripted Format (Feature Film)";Europe (France);70 boulevard Sebastopol  | PARIS | Ile-de-France | 75003;http://www-films-sans-frontieres.fr/
954;FILMSHARKS INTERNATIONAL SRL;Content creation / Production / Distribution (Sales Agent);Content creation / production / rights holder (Production company/Content creation, Rights Holder / Distributor);"Kids & Teens (Animation); Drama / Fiction / Scripted Format (Feature Film)";South & Central America (Argentina);Av Diaz Velez 4323  | BUENOSAIRES | 1200 | Argentina;http://www.filmsharks.com/
955;FILMTRACK;Technology and Services (Technology provider/OS);Technology and Services (Content management);"Kids & Teens (Animation, Docs for Kids, Kids Interactive, Live-Action); Docs & Factual (Archive, Arts, Music & Culture, Current Affairs, Educational, youth oriented, Ethnology & Sociology, History & Civilisation, Lifestyle, Nature & Wildlife, Reality / Factual, Science & Knowledge, Social Responsabilities / Green); Non-Scripted Formats (Factual Entertainment / Magazine, Reality Shows / Scripted Reality, TV Game Show); Drama / Fiction / Scripted Format (Miniseries, Mobisode / Webisode, Series, Telenovelas / Soap / Sitcom, TV Movies); Erotic/Adults";North America (USA);12001 Ventura Pl.  | Suite500 | STUDIOCITY | CA | 91604 | UnitedStates;http://www.filmtrack.com/
956;FILMWAVE; - ; - ; - ;Europe (UK);27 Margaret Street  | LONDON | London | W1W8RY | UnitedKingdom;http://www.filmwave.com/
957;FINNISH BROADCASTING COMPANY;Broadcasting platforms (Cable/IP/Satellite/Mobile/OTT Operator); - ;BrandedEntertainment;Europe (Finland);Arts and Entertainment  | Box79 | YLE | 00024 | Finland;http://www.yle.fi/
958;FINTAGE HOUSE B.V.;Content creation / Production / Distribution (Rights Holder / Distributor); - ;"Kids & Teens (Animation, Docs for Kids, Kids Interactive, Live-Action); Docs & Factual (Archive, Current Affairs, Educational, youth oriented, Ethnology & Sociology, History & Civilisation, Lifestyle); Non-Scripted Formats (Factual Entertainment / Magazine, Reality Shows / Scripted Reality, TV Game Show); Drama / Fiction / Scripted Format (Feature Film, Miniseries, Mobisode / Webisode, Series, Short Film, Telenovelas / Soap / Sitcom, TV Movies); News";Europe (Netherlands);Stationsweg 32  | LEIDEN | 2312AV | Netherlands;http://www.fintagehouse.com/
959;FIPA; - ; - ; - ;Europe (France);14  rue Alexandre Parodi  | PARIS | 75010 | France;http://www.fipa.tm.fr/
960;FIPP LIMITED; - ; - ; - ;Europe (UK);35 new bridge street, Blackfriars  | LONDON | UnitedKingdom; - 
